か細い	弱い	4.22
きつい	甚だしい	2.91
きつい	悲しい	3.28
けばけばしい	どぎつい	4.35
さもしい	醜い	2.88
とろい	鈍い	4.63
やばい	危ない	4.79
暗い	湿っぽい	3.7
暗い	重苦しい	4.12
暗い	物悲しい	3.38
遠い	黄色い	0.93
汚い	醜い	4.12
可愛い	素晴らしい	3.12
可笑しい	物珍しい	2.63
可笑しい	面白い	4.19
怪しい	疑わしい	4.73
楽しい	面白い	4.45
危ない	険しい	4.39
嬉しい	麗しい	2.61
気高い	神々しい	3.95
宜しい	潔い	2.65
宜しい	良い	3.81
激しい	荒々しい	4.56
潔い	良い	3.41
堅苦しい	古めかしい	3.01
賢い	鋭い	3.91
好ましい	快い	4.09
好ましい	宜しい	3.49
好ましい	頼もしい	3.21
甲高い	黄色い	3.07
細い	薄い	3.42
弱い	脆い	4.03
重い	鬱陶しい	3.72
重苦しい	鬱陶しい	3.69
小さい	若い	3.02
心許ない	軽々しい	2.69
新しい	厚い	1.5
凄い	怖い	2.52
凄まじい	荒い	3.51
正しい	良い	4.76
脆い	呆気ない	3.16
素晴らしい	輝かしい	4.49
尊い	気高い	3.87
尊い	恐れ多い	3.86
太い	広い	3.24
珍しい	目新しい	4.42
痛い	遠い	1.38
痛い	苦しい	4.44
等しい	近い	3.65
煩い	騒々しい	3.7
煩い	騒がしい	3.91
卑しい	汚い	3.66
卑しい	浅ましい	3.89
悲しい	憂い	3.75
美しい	麗しい	4.36
怖い	恐ろしい	4.85
芳しい	香ばしい	3.56
忙しい	慌ただしい	4.71
無い	軽い	2.46
明るい	淡い	2.99
面白い	早い	1.73
目覚ましい	素晴らしい	3.85
優しい	温かい	4.14
優しい	柔らかい	3.82
優しい	軟らかい	3.51
勇ましい	雄々しい	4.52
幼い	若い	4.1
幼い	青臭い	3.95
冷たい	寒い	4.88
侘しい	寂しい	3.71
儚い	拙い	2.55
眩しい	輝かしい	4.0
ぶら下げる	垂らす	4.37
為さる	致す	3.09
移る	転ずる	3.69
引き下げる	落とす	3.63
引き締める	張る	3.23
栄える	賑わう	4.57
押さえる	込み上げる	2.82
押し寄せる	降り懸かる	3.15
押し上げる	突き抜ける	3.42
温める	掠める	2.33
下がる	減る	4.24
下がる	落ちる	4.34
下げる	落とす	3.67
下さる	倒れる	1.81
加える	足す	4.76
果てる	逝く	4.07
火照る	焦がす	3.05
課する	裁く	3.02
霞む	ぼやける	4.17
回す	繰る	3.03
